47207,749528,Escherichia coli MS 45-1,Escherichia,Escherichia coli,,

47209,749529,Escherichia coli MS 57-2,Escherichia,Escherichia coli,,

47211,749530,Escherichia coli MS 60-1,Escherichia,Escherichia coli,,

47213,749531,Escherichia coli MS 69-1,Escherichia,Escherichia coli,,

47217,749532,Escherichia coli MS 78-1,Escherichia,Escherichia coli,,

40701,796392,Escherichia coli MS 79-10,Escherichia,Escherichia coli,,

47219,749533,Escherichia coli MS 84-1,Escherichia,Escherichia coli,,

40699,679202,Escherichia coli MS 85-1,Escherichia,Escherichia coli,,

47121,753642,Escherichia coli NC101,Escherichia,Escherichia coli,,

60059,926027,Escherichia coli O157:H- str. 493-89,Escherichia,Escherichia coli,Escherichia coli O157:H-,

60061,926028,Escherichia coli O157:H- str. H 2687,Escherichia,Escherichia coli,Escherichia coli O157:H-,

61463,997824,Escherichia coli O157:H7 str.1044,Escherichia,Escherichia coli,Escherichia coli O157:H7,

61473,997825,Escherichia coli O157:H7 str. 1125,Escherichia,Escherichia coli,Escherichia coli O157:H7,

61465,941435,Escherichia coli O157:H7 str. EC1212,Escherichia,Escherichia coli,Escherichia coli O157:H7,

42809,702430,Escherichia coli O157:H7 str. EC4009,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27747,444454,Escherichia coli O157:H7 str. EC4024,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27737,444449,Escherichia coli O157:H7 str. EC4042,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27733,444448,Escherichia coli O157:H7 str. EC4045,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27745,444453,Escherichia coli O157:H7 str. EC4076,Escherichia,Escherichia coli,Escherichia coli O157:H7,

42813,702432,Escherichia coli O157:H7 str. EC4084,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27743,444452,Escherichia coli O157:H7 str. EC4113,Escherichia,Escherichia coli,Escherichia coli O157:H7,

42815,702433,Escherichia coli O157:H7 str. EC4127,Escherichia,Escherichia coli,Escherichia coli O157:H7,

42817,702434,Escherichia coli O157:H7 str. EC4191,Escherichia,Escherichia coli,Escherichia coli O157:H7,

42811,702431,Escherichia coli O157:H7 str. EC4192,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27741,444451,Escherichia coli O157:H7 str. EC4196,Escherichia,Escherichia coli,Escherichia coli O157:H7,

42819,702435,Escherichia coli O157:H7 str. EC4205,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27735,444447,Escherichia coli O157:H7 str. EC4206,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27749,478004,Escherichia coli O157:H7 str. EC4401,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27751,478005,Escherichia coli O157:H7 str. EC4486,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27753,478006,Escherichia coli O157:H7 str. EC4501,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27755,478007,Escherichia coli O157:H7 str. EC508,Escherichia,Escherichia coli,Escherichia coli O157:H7,

42821,702436,Escherichia coli O157:H7 str. EC536,Escherichia,Escherichia coli,Escherichia coli O157:H7,

27757,478008,Escherichia coli O157:H7 str. EC869,Escherichia,Escherichia coli,Escherichia coli O157:H7,

36543,637388,Escherichia coli O157:H7 str. FRIK2000,Escherichia,Escherichia coli,Escherichia coli O157:H7,

32275,570506,Escherichia coli O157:H7 str. FRIK966,Escherichia,Escherichia coli,Escherichia coli O157:H7,

60057,926026,Escherichia coli O157:H7 str. G5101,Escherichia,Escherichia coli,Escherichia coli O157:H7,

60067,926032,Escherichia coli O157:H7 str. LSU-61,Escherichia,Escherichia coli,Escherichia coli O157:H7,

28847,502346,Escherichia coli O157:H7 str. TW14588,Escherichia,Escherichia coli,Escherichia coli O157:H7,

60063,926029,Escherichia coli O55:H7 str. 3256-97,Escherichia,Escherichia coli,Escherichia coli O55:H7,

60065,926030,Escherichia coli O55:H7 str. USDA 5905,Escherichia,Escherichia coli,Escherichia coli O55:H7,

41499,637912,Escherichia coli OP50,Escherichia,Escherichia coli,,

40279,670899,Escherichia coli RN587/1,Escherichia,Escherichia coli,,

48269,754082,Escherichia coli STEC_7v,Escherichia,Escherichia coli,,

51747,879462,Escherichia coli str. K-12 substr. MG1655star,Escherichia,Escherichia coli,Escherichia coli K-12,Escherichia coli str. K-12 substr. MG1655star

39063,656429,Escherichia coli TA007,Escherichia,Escherichia coli,,

39079,656437,Escherichia coli TA143,Escherichia,Escherichia coli,,

39085,656440,Escherichia coli TA206,Escherichia,Escherichia coli,,

39091,656443,Escherichia coli TA271,Escherichia,Escherichia coli,,

39093,656444,Escherichia coli TA280,Escherichia,Escherichia coli,,

51133,869693,Escherichia coli TW07793,Escherichia,Escherichia coli,,

39103,656449,Escherichia coli TW10509,Escherichia,Escherichia coli,,

59743,913091,Escherichia coli TW10598,Escherichia,Escherichia coli,,

59745,913090,Escherichia coli TW10722,Escherichia,Escherichia coli,,

59747,913089,Escherichia coli TW10828,Escherichia,Escherichia coli,,

59749,913088,Escherichia coli TW11681,Escherichia,Escherichia coli,,

59751,913087,Escherichia coli TW14425,Escherichia,Escherichia coli,,

42709,566546,Escherichia coli W,Escherichia,Escherichia coli,,

61477,945433,Escherichia WV_060327,Escherichia,Escherichia coli,,

60773,932676,Shigella boydii ATCC 9905,Shigella,Shigella sp. SF-2015,,

16194,358708,Shigella dysenteriae 1012,Shigella,Shigella sp. SF-2015,,

48263,754093,Shigella dysenteriae 1617,Shigella,Shigella dysenteriae,,

60771,941429,Shigella dysenteriae CDC 74-1112,Shigella,Shigella dysenteriae,,

48255,198215,Shigella flexneri 2a str. 2457T,Shigella,Shigella flexneri,Shigella flexneri 2a,

60775,945360,Shigella flexneri CDC 796-83,Shigella,Shigella flexneri,,

48265,216599,Shigella sonnei 53G,Shigella,Shigella sonnei,,
